,0,HEAT,COOL,LIGHTING,DISCOMFORT,T_m,T_a
153,2013-01-07 09:00:00,17.0391867531,0.0,0.0,1.0,4.83854696897,2.9
154,2013-01-07 10:00:00,17.0940683925,0.0,0.0,1.0,4.78655967217,3.1
155,2013-01-07 11:00:00,17.1350358607,0.0,0.0,1.0,4.75215942999,3.8
156,2013-01-07 12:00:00,17.1467933525,0.0,0.0,1.0,4.75382757764,4.8
157,2013-01-07 13:00:00,17.1364058249,0.0,0.0,1.0,4.76938511543,5.2
158,2013-01-07 14:00:00,17.1262885201,0.0,0.0,1.0,4.77628112955,5.0
159,2013-01-07 15:00:00,17.1213978888,0.0,0.40131,1.0,4.77998066126,4.9
160,2013-01-07 16:00:00,17.1195811207,0.0,0.40131,1.0,4.78067871341,4.8
161,2013-01-07 17:00:00,17.1263414427,0.0,0.40131,1.0,4.76950321999,4.5
162,2013-01-07 18:00:00,17.1495299778,0.0,0.40131,1.0,4.73918460654,3.9
163,2013-01-07 19:00:00,17.1675427305,0.0,0.0,0.0,4.72844786174,4.2
164,2013-01-07 20:00:00,17.1781455143,0.0,0.0,0.0,4.71792491699,4.2
165,2013-01-07 21:00:00,17.1935279142,0.0,0.0,0.0,4.69964634327,3.8
166,2013-01-07 22:00:00,17.2128261157,0.0,0.0,0.0,4.6797404566,3.7
167,2013-01-07 23:00:00,17.2349790135,0.0,0.0,0.0,4.65624836863,3.5
168,2013-01-08 00:00:00,17.260673368,0.0,0.0,0.0,4.62924149114,3.3
169,2013-01-08 01:00:00,17.2910863456,0.0,0.0,0.0,4.59679852098,3.0
170,2013-01-08 02:00:00,17.3243722161,0.0,0.0,0.0,4.56301029248,2.9
171,2013-01-08 03:00:00,17.3589865604,0.0,0.0,0.0,4.52790359367,2.8
172,2013-01-08 04:00:00,17.3961506117,0.0,0.0,0.0,4.48951338626,2.6
173,2013-01-08 05:00:00,17.4365572038,0.0,0.0,0.0,4.44790505452,2.4
174,2013-01-08 06:00:00,17.4776463937,0.0,0.0,0.0,4.40712526654,2.4
175,2013-01-08 07:00:00,17.5257933183,0.0,0.40131,1.0,4.35462113423,2.3
176,2013-01-08 08:00:00,17.582047806,0.0,0.0,1.0,4.29617263049,2.4
177,2013-01-08 09:00:00,17.6412758211,0.0,0.0,1.0,4.23648162366,2.3
178,2013-01-08 10:00:00,17.6960949917,0.0,0.0,1.0,4.18455608632,2.5
179,2013-01-08 11:00:00,17.7413735362,0.0,0.0,1.0,4.14325192865,3.0
180,2013-01-08 12:00:00,17.7620727924,0.0,0.0,1.0,4.13477000354,3.9
181,2013-01-08 13:00:00,17.7550462337,0.0,0.0,1.0,4.15099205782,4.6
182,2013-01-08 14:00:00,17.7293284202,0.0,0.0,1.0,4.18236025678,5.2
183,2013-01-08 15:00:00,17.707928756,0.0,0.0,1.0,4.19783909713,4.7
184,2013-01-08 16:00:00,17.7196253918,0.0,0.40131,1.0,4.1700193322,3.4
185,2013-01-08 17:00:00,17.7567433055,0.0,0.40131,1.0,4.12741548149,3.1
186,2013-01-08 18:00:00,17.8235310338,0.0,0.40131,1.0,4.04626108356,1.8
187,2013-01-08 19:00:00,17.8992328474,0.0,0.0,0.0,3.97365334543,0.4
188,2013-01-08 20:00:00,17.9759254167,0.0,0.0,0.0,3.89452626843,0.0
189,2013-01-08 21:00:00,18.0615513583,0.0,0.0,0.0,3.80502708589,-0.6
190,2013-01-08 22:00:00,18.1449431224,0.0,0.0,0.0,3.72527526582,-0.2
191,2013-01-08 23:00:00,18.2187091407,0.0,0.0,0.0,3.6550767097,0.2
192,2013-01-09 00:00:00,18.2867841513,0.0,0.0,0.0,3.58826730534,0.3
193,2013-01-09 01:00:00,18.3552553576,0.0,0.0,0.0,3.5188056861,0.1
194,2013-01-09 02:00:00,18.4263456874,0.0,0.0,0.0,3.44674466535,-0.1
195,2013-01-09 03:00:00,18.4987552992,0.0,0.0,0.0,3.37412729769,-0.2
196,2013-01-09 04:00:00,18.5717143165,0.0,0.0,0.0,3.30096466162,-0.3
197,2013-01-09 05:00:00,18.6489548603,0.0,0.0,0.0,3.22129373632,-0.7
198,2013-01-09 06:00:00,18.7263840546,0.0,0.0,0.0,3.14520058541,-0.6
199,2013-01-09 07:00:00,18.814871098,0.0,0.40131,1.0,3.04938809457,-0.7
200,2013-01-09 08:00:00,18.917198876,0.0,0.0,1.0,2.94325170849,-0.5
201,2013-01-09 09:00:00,19.0175921047,0.0,0.0,1.0,2.84626963544,-0.3
202,2013-01-09 10:00:00,19.1090027564,0.0,0.0,1.0,2.75816813648,-0.1
203,2013-01-09 11:00:00,19.2000184678,0.0,0.0,1.0,2.6654807601,0.1
204,2013-01-09 12:00:00,19.2862989942,0.0,0.0,1.0,2.58299906809,0.3
205,2013-01-09 13:00:00,19.3538413407,0.0,0.0,1.0,2.52431475616,0.9
206,2013-01-09 14:00:00,19.4005295565,0.0,0.0,1.0,2.48471413247,1.2
207,2013-01-09 15:00:00,19.4525193562,0.0,0.0,1.0,2.42536576599,0.5
